date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_goals,year,month,day,weekday,home_win
1954-12-18,Sri Lanka,Pakistan,1,2,Friendly,Kolkata,India,True,3,1954,12,18,5,False
1954-12-19,India,Burma,2,1,Friendly,Kolkata,India,False,3,1954,12,19,6,True
1954-12-21,India,Sri Lanka,1,1,Friendly,Kolkata,India,False,2,1954,12,21,1,Draw
1954-12-23,Burma,Pakistan,1,1,Friendly,Kolkata,India,True,2,1954,12,23,3,Draw
1954-12-25,Burma,Sri Lanka,1,2,Friendly,Kolkata,India,True,3,1954,12,25,5,False
1956-06-17,India,China PR,0,1,Friendly,New Delhi,India,False,1,1956,6,17,6,False
1956-12-29,India,Yugoslavia,0,3,Friendly,Kolkata,India,False,3,1956,12,29,5,False
1959-12-05,Iran,Israel,3,0,AFC Asian Cup qualification,Ernakulam,India,True,3,1959,12,5,5,True
1959-12-06,India,Pakistan,1,0,AFC Asian Cup qualification,Ernakulam,India,False,1,1959,12,6,6,True
1959-12-08,India,Israel,1,3,AFC Asian Cup qualification,Ernakulam,India,False,4,1959,12,8,1,False
1959-12-10,Israel,Pakistan,2,0,AFC Asian Cup qualification,Ernakulam,India,True,2,1959,12,10,3,True
1959-12-12,Israel,Iran,1,1,AFC Asian Cup qualification,Ernakulam,India,True,2,1959,12,12,5,Draw
1959-12-17,Pakistan,Israel,2,2,AFC Asian Cup qualification,Ernakulam,India,True,4,1959,12,17,3,Draw
1982-02-16,India,China PR,1,1,Nehru Cup,Kolkata,India,False,2,1982,2,16,1,Draw
1982-02-18,India,South Korea,2,2,Nehru Cup,Kolkata,India,False,4,1982,2,18,3,Draw
1982-02-20,South Korea,Uruguay,2,2,Nehru Cup,Kolkata,India,True,4,1982,2,20,5,Draw
1982-02-22,China PR,Uruguay,0,0,Nehru Cup,Kolkata,India,True,0,1982,2,22,0,Draw
1982-02-25,India,Uruguay,1,3,Nehru Cup,Kolkata,India,False,4,1982,2,25,3,False
1982-03-01,China PR,South Korea,1,1,Nehru Cup,Kolkata,India,True,2,1982,3,1,0,Draw
1982-03-04,China PR,Uruguay,0,2,Nehru Cup,Kolkata,India,True,2,1982,3,4,3,False
1984-01-11,India,Poland,1,2,Nehru Cup,Kolkata,India,False,3,1984,1,11,2,False
1984-01-14,India,Argentina,0,1,Nehru Cup,Kolkata,India,False,1,1984,1,14,5,False
1984-01-15,China PR,Poland,0,1,Nehru Cup,Kolkata,India,True,1,1984,1,15,6,False
1984-01-17,Argentina,Poland,1,1,Nehru Cup,Kolkata,India,True,2,1984,1,17,1,Draw
1984-01-20,Argentina,China PR,0,1,Nehru Cup,Kolkata,India,True,1,1984,1,20,4,False
1984-01-25,India,China PR,0,3,Nehru Cup,Kolkata,India,False,3,1984,1,25,2,False
1984-01-27,China PR,Poland,0,1,Nehru Cup,Kolkata,India,True,1,1984,1,27,4,False
1984-10-10,South Korea,Yemen,6,0,AFC Asian Cup qualification,Kolkata,India,True,6,1984,10,10,2,True
1984-10-11,Malaysia,Pakistan,5,0,AFC Asian Cup qualification,Kolkata,India,True,5,1984,10,11,3,True
1984-10-12,India,Yemen,4,0,AFC Asian Cup qualification,Kolkata,India,False,4,1984,10,12,4,True
1984-10-13,South Korea,Pakistan,6,0,AFC Asian Cup qualification,Kolkata,India,True,6,1984,10,13,5,True
1984-10-14,India,Malaysia,2,1,AFC Asian Cup qualification,Kolkata,India,False,3,1984,10,14,6,True
1984-10-15,Pakistan,Yemen,4,1,AFC Asian Cup qualification,Kolkata,India,True,5,1984,10,15,0,True
1984-10-16,South Korea,Malaysia,0,0,AFC Asian Cup qualification,Kolkata,India,True,0,1984,10,16,1,Draw
1984-10-17,India,Pakistan,2,0,AFC Asian Cup qualification,Kolkata,India,False,2,1984,10,17,2,True
1984-10-18,Malaysia,Yemen,4,1,AFC Asian Cup qualification,Kolkata,India,True,5,1984,10,18,3,True
1984-10-19,India,South Korea,0,1,AFC Asian Cup qualification,Kolkata,India,False,1,1984,10,19,4,False
1985-01-20,Iran,Yugoslavia,1,3,Nehru Cup,Ernakulam,India,True,4,1985,1,20,6,False
1985-01-21,China PR,Russia,2,3,Nehru Cup,Ernakulam,India,True,5,1985,1,21,0,False
1985-01-25,Russia,Yugoslavia,1,2,Nehru Cup,Ernakulam,India,True,3,1985,1,25,4,False
1985-01-28,Iran,Russia,0,2,Nehru Cup,Ernakulam,India,True,2,1985,1,28,0,False
1985-01-29,China PR,Yugoslavia,1,1,Nehru Cup,Ernakulam,India,True,2,1985,1,29,1,Draw
1985-01-31,India,Morocco,0,1,Nehru Cup,Ernakulam,India,False,1,1985,1,31,3,False
1985-02-02,Morocco,Russia,0,1,Nehru Cup,Ernakulam,India,True,1,1985,2,2,5,False
1985-02-04,Yugoslavia,Russia,1,2,Nehru Cup,Ernakulam,India,True,3,1985,2,4,0,False
1985-04-06,India,Indonesia,1,1,FIFA World Cup qualification,Kolkata,India,False,2,1985,4,6,5,Draw
1985-04-09,India,Thailand,1,1,FIFA World Cup qualification,Kolkata,India,False,2,1985,4,9,1,Draw
1985-04-12,India,Bangladesh,2,1,FIFA World Cup qualification,Kolkata,India,False,3,1985,4,12,4,True
1985-05-05,Iraq,Qatar,2,1,FIFA World Cup qualification,Kolkata,India,True,3,1985,5,5,6,True
1986-01-25,India,China PR,0,0,Nehru Cup,Thiruvananthapuram,India,False,0,1986,1,25,5,Draw
1986-01-28,China PR,Peru,3,1,Nehru Cup,Thiruvananthapuram,India,True,4,1986,1,28,1,True
1986-01-30,India,Peru,0,1,Nehru Cup,Thiruvananthapuram,India,False,1,1986,1,30,3,False
1987-01-14,India,China PR,1,1,Nehru Cup,Kozhikode,India,False,2,1987,1,14,2,Draw
1987-01-27,Nigeria,Syria,1,0,Nehru Cup,Kozhikode,India,True,1,1987,1,27,1,True
1989-01-27,India,North Korea,1,2,Nehru Cup,Margao,India,False,3,1989,1,27,4,False
1991-01-11,Russia,Zambia,4,0,Nehru Cup,Thiruvananthapuram,India,True,4,1991,1,11,4,True
